50000 0.001403 1.592634 0.009073
100000 0.001920 6.404802 0.014097
150000 0.002996 14.596166 0.018270
200000 0.003288 25.958482 0.024870
250000 0.003948 40.410915 0.033505
300000 0.004550 58.340982 0.042332
350000 0.005131 78.871622 0.055071
400000 0.005762 103.596734 0.054719
450000 0.006320 130.991167 0.057293
500000 0.006923 161.644989 0.063973
550000 0.007564 193.908787 0.070911
600000 0.008201 231.174434 0.077655 
650000 0.008731 271.454076 0.084062
700000 0.009377 315.746202 0.091300
750000 0.009924 362.351166 0.098330 
800000 0.010536 411.802423 0.104619
850000 0.011150 475.422221 0.113830
900000 0.011779 552.929176 0.121830
950000 0.012445 622.481022 0.130406
1000000 0.012947 690.038000 0.136738
